TITLE,DIRECTOR,TYPES,STATUS,DONE_YEAR,DISCOVERY_YEAR
Into Eternity,Michael Madsen,Documentaries,Done,2014,2014
Samsara,,Documentaries,Wish,,2014
The Act of Killing,,Documentaries,Wish,,2014
Cosmo,,Documentaries,Wish,,2014
Six Feet Under,,Series,Wish,,2014
Orange is the New Black,,Series,Wish,,2014
Louis C-K,,Stand-up,Wish,,2014
The Wire,,Series,Done,2015,2015
Breaking Bad,,Series,Done,,
The Sopranos,,Series,Wish,,2014
Resurrection of the little match girl,,,,,2014
2009Â : Lost memories,,,,,2014
Lucy,,,,2014,2014
Cloud Atlas,,,,2014,2014
Predestination,,,,2014,2014
Her,,,,2014,2014
Under the skin,,,,2014,2014
